id,price_huf,close_to_public_transportation,close_to_campus,size_m2,num_bedrooms,avg_util_cost_huf,furnished,transport_types,description
1031,230000,True,['Main Campus'],88,3,58000,True,['Tram'],Executive style apartment suitable for PhD students or professors. Very elegant decor and high quality furniture. Located in the most prestigious part of the Great Forest area.
1036,195000,True,['Main Campus'],78,3,50000,True,['Tram'],Spacious flat with a large american style kitchen and living room area. Great for social students who like to host dinner parties. Located in the vibrant city center near the tram.
1040,110000,True,['Main Campus'],40,1,24000,True,['Tram'],Cozy attic apartment with sloping ceilings and skylights. Very romantic and quiet atmosphere. Located just a stone throw away from the main university building.
1041,215000,True,['Main Campus'],82,3,54000,True,['Tram'],Prestigious apartment in a villa building. Shared garden usage included. Very upscale and quiet perfect for focused studying. Near the tram terminus.
1045,140000,True,['Main Campus'],57,2,32000,True,['Tram'],Standard student flat in a tower block. Great view from the balcony. The building has a concierge. Located right on the tram line to university.
1049,250000,True,['Main Campus'],95,4,65000,True,['Tram'],Double story duplex apartment with four bedrooms. Massive space for a large group. Includes two bathrooms and a guest toilet. In the heart of the city center.
1001,160000,True,"['Main Campus', 'Medical School']",52,2,35000,True,"['Tram', 'Bus']",A bright and spacious apartment located right next to the Great Forest park. It is perfect for medical students who need a quiet environment to study but want to be close to the clinics. The living room has large windows facing the trees.
1023,210000,True,"['Main Campus', 'Medical School']",85,3,52000,True,['Tram'],Luxurious penthouse style apartment with a huge roof terrace. Amazing views over the Great Forest. High end finishings throughout and very close to the aquaticum thermal baths.
1013,175000,True,"['Main Campus', 'Kassai Campus']",65,2,40000,True,"['Tram', 'Bus']",Bright and airy corner flat with views of the city. Located at a major transport hub giving easy access to both the IT campus and the main building. The furniture is modern Scandinavian style.
1034,145000,True,"['Main Campus', 'Kassai Campus']",55,2,30000,True,['Bus'],Modern minimalist flat with white walls and sleek furniture. Very easy to keep clean. Located halfway between the IT campus and Main campus making it flexible for different majors.
1002,110000,True,['Kassai Campus'],35,1,25000,True,['Bus'],Cozy studio flat ideal for a single computer science student. It is located just a short walk from the IT faculty buildings. The space is compact but very well organized with a modern desk and comfortable chair included.
1010,90000,True,['Kassai Campus'],30,1,18000,True,['Bus'],Budget friendly small garzon flat near the swimming complex. It is older but clean and well maintained by a friendly owner. Very low utility costs make it perfect for saving money.
1017,110000,False,['Kassai Campus'],45,1,26000,True,['Bus'],Spacious one bedroom flat with a large separate kitchen. It is located in a family friendly neighborhood near the Kassai road campus. Great for a student couple who cooks at home often.
1022,140000,True,['Kassai Campus'],53,2,31000,False,['Bus'],Partially furnished flat offering a bed frame and wardrobe but no mattress or desk. Good for students who want to customize their setup. Located near the Főnix Hall and IT campus.
1027,98000,False,['Kassai Campus'],36,1,21000,True,['Bus'],Simple and clean flat on the outskirts of the Kassai campus area. It is a bit of a walk to the bus stop but the price reflects the distance. Very quiet neighbors.
1032,100000,True,['Kassai Campus'],32,1,19000,True,['Bus'],Compact bachelor pad near the law and IT faculties. Features a fold down bed to maximize daytime space. Very close to cheap canteens and student grocery stores.
1038,155000,True,['Kassai Campus'],61,2,35000,True,['Bus'],Sunlit apartment with huge windows and a view of the park. It includes air conditioning for the hot summer months. Very close to the campus swimming pool.
1043,105000,True,['Kassai Campus'],39,1,23000,True,['Bus'],Ground floor flat with bars on windows for security. Very cool in summer. Located in a safe neighborhood near the law faculty.
1047,120000,True,['Kassai Campus'],46,1,26000,True,['Bus'],Modern studio with a sleeping alcove. Very well designed layout. Located next to the Főnix event hall and close to campus.
1006,180000,True,"['Kassai Campus', 'Main Campus']",68,2,42000,True,['Bus'],Stylish loft apartment with high ceilings and an open plan kitchen. It is situated in a popular student area with many cafes and gyms nearby. Both bedrooms are equally sized which avoids arguments between roommates.
1004,95000,False,['Faculty of Engineering'],40,1,20000,True,['Bus'],Affordable ground floor apartment in a quiet residential street near the engineering faculty. It is simple and modest but has everything a student needs including a renovated bathroom and sturdy furniture.
1012,125000,False,['Faculty of Engineering'],48,2,30000,True,['Bus'],Quiet garden access apartment perfect for students with a small pet or who like to sit outside. It is a bit further from the center but very peaceful and private. The kitchen was recently refurbished.
1020,85000,True,['Faculty of Engineering'],28,1,15000,True,['Bus'],Tiny but functional mini studio for a student on a strict budget. Includes a gallery bed to save space and a small kitchenette. Located very close to the engineering faculty entrance.
1028,150000,True,['Faculty of Engineering'],60,2,33000,True,['Bus'],Newly built condo with excellent insulation and low overheads. Located in a rapidly developing area near the engineering campus. Includes a dishwasher and washing machine.
1037,92000,False,['Faculty of Engineering'],34,1,17000,True,['Bus'],Older style apartment that has been well cared for. Furniture is retro but comfortable. Extremely affordable option for a single engineering student.
1046,185000,True,['Faculty of Engineering'],75,3,46000,True,['Bus'],Large apartment with three bedrooms and a dining hall. Good for a group of engineering students. plenty of desk space in every room.
1007,130000,True,['Faculty of Economics'],50,2,28000,True,['Bus'],Sunny flat located directly across from the economics faculty sports grounds. The area is very green and peaceful. The apartment features a large pantry and separate toilet and bathroom.
1016,135000,True,['Faculty of Economics'],56,2,32000,True,['Bus'],Renovated panel apartment with insulated windows and new radiators. Very warm in winter and efficient on utilities. Located right next to a large supermarket and the economics campus.
1024,120000,True,['Faculty of Economics'],47,1,27000,True,['Bus'],Charming brick apartment in a greenery filled area. The flat has a rustic feel with wooden beams. It is a peaceful retreat near the agricultural and economics faculty.
1033,160000,True,['Faculty of Economics'],64,2,37000,True,['Bus'],Family friendly apartment that is also great for students who want a homey vibe. Large kitchen with a dining table. Located near the sports fields of the agricultural campus.
1042,130000,True,['Faculty of Economics'],52,2,29000,True,['Bus'],Clean and tidy flat with two separate bedrooms. Ideal for two friends sharing. Located near the farmers market and the economics campus.
1050,99000,False,['Faculty of Economics'],33,1,20000,True,['Bus'],Small but cheerful flat with yellow walls and sunny aspect. Very low maintenance. Perfect for a student at the nearby agricultural faculty.
